"File1","File2","Sim",
"ref.py","1.py",0.275,
"ref.py","2.py",0.225,
"ref.py","3.py",0.475,
"ref.py","4.py",0.275,
"ref.py","5.py",0.275,
"ref.py","6.py",0.025,
"ref.py","7.py",0.275,
"ref.py","8.py",0.275,
"ref.py","9.py",0.275,
"ref.py","10.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","11.py",0.275,
"ref.py","12.py",0.475,
"ref.py","13.py",0.275,
"ref.py","14.py",0.475,
"ref.py","15.py",0.275,
"ref.py","16.py",0.425,
"ref.py","17.py",0.275,
"ref.py","18.py",0.025,
"ref.py","19.py",0.275,
"ref.py","20.py",0.275,
"ref.py","21.py",0.25,
"ref.py","22.py",0,
"ref.py","23.py",0.475,
"ref.py","24.py",0.225,
"ref.py","25.py",0.275,
"ref.py","26.py",0.275,
"ref.py","27.py",0.275,
"ref.py","28.py",0.275,
"ref.py","29.py",0.475,
"ref.py","30.py",0.475,
"ref.py","31.py",0.275,
"ref.py","32.py",0.275,
"ref.py","33.py",0.25,
"ref.py","34.py",0.275,
"ref.py","35.py",0.475,
"ref.py","36.py",0.275,
"ref.py","37.py",0.275,
"ref.py","38.py",0.275,
"ref.py","39.py",0.275,
"ref.py","40.py",0.275,
"ref.py","41.py",0.275,
"ref.py","42.py",0.275,
"ref.py","43.py",0.175,
"ref.py","44.py",0.275,
"ref.py","45.py",0.275,
"ref.py","46.py",0.475,
"ref.py","47.py",0.275,
"ref.py","48.py",0.475,
"ref.py","49.py",0.475,
"ref.py","50.py",0.225,
"ref.py","51.py",0.275,
"ref.py","52.py",0,
"ref.py","53.py",0.225,
"ref.py","54.py",0.275,
"ref.py","55.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","56.py",0.275,
"ref.py","57.py",0.475,
"ref.py","58.py",0.275,
"ref.py","59.py",0.275,
"ref.py","60.py",0.425,
"ref.py","61.py",0.425,
"ref.py","62.py",,"62 is an empty file"
"ref.py","63.py",0.275,
"ref.py","64.py",0.275,
"ref.py","65.py",0.475,
"ref.py","66.py",0.275,
"ref.py","67.py",0,"Here, rubrics are not considered and this does not preserve any structure of the reference solution"
"ref.py","68.py",0.425,
"ref.py","69.py",0.275,
"ref.py","70.py",0.275,
"ref.py","71.py",0.475,
"ref.py","72.py",0.425,
"ref.py","73.py",0.275,
"ref.py","74.py",0,
"ref.py","75.py",0.475,
"ref.py","76.py",0.225,
"ref.py","77.py",0.475,
"ref.py","78.py",0.275,
"ref.py","79.py",0.475,
"ref.py","80.py",0.475,
"ref.py","81.py",0.475,
"ref.py","82.py",0.425,
"ref.py","83.py",0.275,
"ref.py","84.py",0.275,
"ref.py","85.py",0.475,
"ref.py","86.py",0.275,
"ref.py","87.py",0.275,
"ref.py","88.py",0.275,
"ref.py","89.py",0.475,
"ref.py","90.py",0.4,
"ref.py","91.py",0.275,
"ref.py","92.py",0.225,
"ref.py","93.py",0.275,
"ref.py","94.py",0.275,
"ref.py","95.py",0.275,
"ref.py","96.py",0.475,
"ref.py","97.py",1,
"ref.py","98.py",0.275,
"ref.py","99.py",0.275,
"ref.py","100.py",0.275,
